P,Q,Fold Number,RMSE,RSS,MSE,MAE,MAPE,R2,durbin_watson,aic,bic
4,3,1,0.3397369952117702,130.19514283270922,0.11542122591552241,0.2089522488671926,0.008308242606742903,0.9947025956690212,1.9782772240241608,-2419.5403854884435,-2379.3147740319796
4,3,2,0.32439074914261895,118.69871596986117,0.10522935812930946,0.2013039376192106,0.00847994355750127,0.9953952695066162,2.015473133447562,-2523.8194052774284,-2483.5937938209645
4,3,3,0.31402632132694747,111.23493438836057,0.09861253048613534,0.19146173530073454,0.008300948138850012,0.9957257009881292,2.003042714507798,-2597.076229910656,-2556.850618454192
4,3,4,0.37404227279169133,157.81579743007632,0.139907621835174,0.22559770105735003,0.010636222307299036,0.9948422384232701,2.015408603912119,-2202.519851729815,-2162.294240273351
4,3,5,0.3831864701236415,165.6263503592009,0.1468318708858163,0.23042781228109388,0.01148808793804333,0.9949844027414159,2.06126090901244,-2148.030868765139,-2107.805257308675
4,3,6,0.38617802606132173,168.22255169263414,0.14913346781261894,0.231296779253635,0.012001534451365273,0.9947778041294832,2.0005810027231887,-2130.486559813577,-2090.260948357113
4,4,0,0.36093094732161424,146.94585577249103,0.13027114873447776,0.22215200458214776,0.00833174761910918,0.9925405565500104,1.9928492743913837,-2281.018808081506,-2235.764995192984
4,4,1,0.3364788370746543,127.70991279739808,0.11321800779911176,0.20769241826936544,0.00825939184769417,0.9948037151736824,2.0250233255480072,-2439.28037230243,-2394.0265594139078
4,4,2,0.32529462290761596,119.36111542926191,0.10581659169260792,0.20094724285668317,0.008454698853329733,0.9953695727586389,1.9991165567809668,-2515.542088233847,-2470.288275345325
4,4,3,0.3132553500553843,110.68941537362649,0.09812891433832135,0.19070802333787268,0.008270658882899422,0.9957466630303011,2.0093669273966595,-2600.621783507397,-2555.367970618875
4,4,4,0.37766591760199486,160.88838311888085,0.14263154531815664,0.22591243231109684,0.010634847846305489,0.9947418196777136,1.9532723793718152,-2178.769374298228,-2133.5155614097057
4,4,5,0.38189408700812966,164.51100968431982,0.1458430936917728,0.22528898744514822,0.011202274652934902,0.9950181781619283,2.050032111820422,-2153.652599717773,-2108.3987868292506
4,4,6,0.38540481227318485,167.54958859671495,0.14853686932332888,0.2294371635762356,0.011889427287285769,0.9947986951756906,2.001699133934124,-2133.0080986640783,-2087.754285775556
4,5,0,0.3603765190295027,146.49475360770265,0.12987123546782164,0.2217993094497729,0.00832084926156887,0.9925634559442854,1.9975091963945437,-2282.486928215235,-2232.204913894655
4,5,1,0.33969462901964814,130.16267343085033,0.11539244098479642,0.20941174734711027,0.008328753775464557,0.994703916790119,1.9896194049026006,-2415.821732797407,-2365.539718476827
4,5,2,0.3287542637650548,121.91352478449723,0.10807936594370333,0.20421457115969785,0.008600352213531412,0.9952705560414519,1.95391676956973,-2489.6753017358096,-2439.3932874152297
4,5,3,0.32108228515922094,116.28984457497987,0.10309383384306725,0.19721809840543986,0.008551236741393055,0.9955314616717259,1.9223456327265747,-2542.9465065357713,-2492.6644922151913
4,5,4,0.3760205430442636,159.4895542365896,0.14139144879130275,0.22574282899183218,0.010639124722311865,0.9947875364309093,1.9619765072918072,-2186.6195469975505,-2136.3375326769706
4,5,5,0.39403473899455527,175.13708760292425,0.15526337553450728,0.23394082067652505,0.011653401814621335,0.9946963928471975,1.9370286033529382,-2081.0493551727272,-2030.7673408521473
4,5,6,0.38947911395754253,171.11080967592392,0.1516939802091524,0.2328744941983316,0.012083005730444737,0.9946881428518392,1.9609283871796443,-2107.284005301967,-2057.0019909813873
4,6,0,0.3600538174701426,146.23251166360006,0.12963875147482287,0.22143685658524093,0.008307767819179697,0.9925767681873695,2.000566150349687,-2282.507983492122,-2227.197767739484
4,6,1,0.33837552515171243,129.15373951247443,0.11449799602169726,0.2088769149531267,0.00830462761498365,0.9947449684821605,2.0032707837901462,-2422.599296776184,-2367.289081023546
4,6,2,0.3243073880482894,118.63771803136984,0.10517528194270388,0.20033880926554348,0.008434877018988854,0.9953976358259576,2.0043072888957543,-2518.3992208158434,-2463.089005063205
4,6,3,0.3180110826520462,114.07582292178596,0.10113104868952628,0.19431610697622645,0.008425658510772297,0.995616537377632,1.9599592624598878,-2562.6293671041267,-2507.3191513514885
4,6,4,0.3731317071615623,157.04836156313252,0.13922727088930187,0.22386569406455978,0.01056038369269267,0.9948673198871767,1.996567738347565,-2202.018536463645,-2146.7083207110068
4,6,5,0.3858409024508456,167.9289718606056,0.14887320200408272,0.22869485918791904,0.011402282884861118,0.994914673365233,2.011615553215678,-2126.45685065876,-2071.1466349061216
4,6,6,0.386776727926709,168.74455563569998,0.14959623726569146,0.2315796644658846,0.012028876895056873,0.9947615993649708,1.9914655935372916,-2120.991732538228,-2065.68151678559
